Population,Amerindian,Arabian,Armenian,Basque,Central_African,Central_Euro,East_African,East_Asian,East_Balkan,East_Central_Asian,East_Central_Euro,East_Med,Eastern_Euro,Fennoscandian,French,Iberian,IndoChinese,Italian,Malayan,Near_Eastern,North_African,North_Atlantic,North_Caucasian,North_Sea,Northeast_African,Oceanian,Omotic,Pygmy,Siberian,South_Asian,South_Central_Asian,South_Chinese,VolgaUral,West_African,West_Caucasian,WestMed
Eritrea_Tigre,0.019473684,9.770555556,0.173157895,0.141052632,1.884444444,0,11.58333333,0.015789474,0.009473684,0,0,2.968888889,0,0,0,0.050526316,0.013684211,0.096842105,0,8.362222222,2.751111111,0,0,0.051578947,59.94277778,0.047368421,1.871111111,0.02631579,0.014210526,0,0,0,0,0,0,0.154210526
Ethiopia_Oromo,0,5.955,0.1125,0,3.5725,0,13.3225,0,0,0,0,0.2675,0,0,0,0.255,0,0,0,5.0975,1.4375,0,0,0,59.28,0.31,9.95,0.1475,0,0.225,0,0.0125,0,0.04,0,0
AfroTrinidadian,1.94,0,0.59,0.54,4.26,0.53,2.3,1.95,0.1,2.42,0.65,0,0,0,0,0.22,2.36,0,4.2,0,0.41,0,0.15,0,0,0,0,3.23,0,0.31,0,0,0.2,72.63,0,0.96
African-American,0.0265,0.012,0.093,0.941,0.946666667,4.1815,1.745,0,1.1655,0.028333333,2.2345,0,2.789,4.0535,4.3915,5.8355,0,3.9995,0,0,0.116666667,8.859,0.7995,10.076,0,0.011,0.676666667,4.925,0,0,0.151,0,0.136,41.55833333,0.014,0.2235
Bantu_Zimbabwe,0,0,0,0,4.45,0,8.09,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.88,0,0,0,0,0,75.45,0,0
Sandawe,0,5.8,0,0,2.36,0,6.94,0,0,0,0,0,0,0,0,0,0,0,0,3.09,2.57,0,0,0,35.48,0,2.66,2.96,0,0,0,0,0,38.09,0,0
Bantu_Central_Africa,0,0,0,0,14.116,0,16.99,0,0,0,0,0,0,0,0,0,0.064,0,0,0,0,0.022,0,0,0,0,0.302,10.176,0.018,0.012,0,0,0,58.292,0,0
Altaian,0.99,0,0,0.27,0.19,0.23,0,14.09,0.12,18.71,0.28,0,1.98,3.42,0.85,0.69,0,0,0,0,0.02,0.08,6.15,2.1,0,0.08,0,0,40.5,0.2,6.33,0.01,2.71,0,0,0
Ket,4.57,0,0,0,0,0,0,0,0,1.45,0.03,0,8.51,10.22,0,0,0,0,0,0,0.02,0,0.04,0.03,0,0.06,0,0,60.91,0.95,3.03,0,10.18,0,0,0
Khanty,3.06,0,0,0,0,0,0,0,0,0,0,0,9.53,16.96,0,0,0,0,0,0,0,0.07,0,0.01,0,0,0,0,49.52,0.01,5.78,0,15.06,0,0,0
Mansi,3.21,0,0,0,0.02,0.04,0,0,0,1.15,0.63,0,13.12,14.47,0,0,0,0,0,0,0.02,0.52,0,0.4,0,0.07,0,0.05,48.09,0.07,2.99,0,15.15,0,0,0
Nenets,1.11,0,0,0,0,0.05,0,0,0,0.11,0.11,0,7.13,9.34,0.01,0,0,0,0,0,0,0.27,0,0.26,0,0,0,0,70.54,0.01,0.39,0,10.65,0.02,0,0
Nenets_Forest,1.14,0,0,0,0,0,0,0,0,0.01,0,0,4.47,8.6,0,0,0,0,0,0,0.02,0,0,0.01,0,0,0,0,75.62,0,0.27,0,9.86,0,0,0
Nivh,0.73,0,0,0.1,0,0.31,0,28.22,0,25.35,0,0,0.04,0,0.15,0,0,0.01,0,0,0.02,0,0,0,0,0,0.14,0,44.62,0,0,0,0.31,0,0,0
Shor,3.1,0,0,0,0.14,0.41,0,4.66,0.57,11.58,2.82,0,7.39,7.46,0.15,0,0.01,0,0,0,0.02,0.93,3.33,3.65,0,0.04,0.26,0,36.17,0.52,9.58,0.65,6.54,0.01,0.01,0
Selkup,2.82,0,0,0,0,0.12,0,0,0,1.26,0.46,0,9.32,10.34,0,0,0,0,0,0,0,0.31,0.09,0.6,0,0.1,0,0.03,60.69,0.57,2.7,0,10.56,0.03,0,0
Buryat,0.07,0.36,0.02,0.15,0.19,0.03,0,14.47,0.01,25.37,0.2,0.45,1.02,1.65,0.05,0,0.2,0.01,0.02,0.02,0.02,0.05,3.57,0.84,0.01,0,0.11,0.01,47.38,0.11,1.26,0.13,1.42,0.05,0.07,0.68
Mongol,0.32,0.68,0.19,0.15,0,0.14,0,25.17,0,28.4,0.05,0,1.16,0.03,0.04,0,0,0.01,0,0.02,0.02,0,0.69,0.84,0,0.26,0,0,32.61,0.91,1.31,3.56,1.7,0,0.91,0.83
Yakut,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0.26,0,0,96.08,0.1,0,0,0,0,0,0
Han_China,0,0,0,0,0,0,0,27.52,0,0.4,0,0,0,0,0,0,24.14,0,6.01,0,0,0,0,0,0,0,0,0,0,0,0,41.93,0,0,0,0
She_South-China,0,0,0,0,0,0,0,28.38,0,1.7,0,0,0,0,0,0,27.02,0,3.74,0,0,0,0,0,0,0,0,0,0,0,0,39.15,0,0,0,0
Dai_South-China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.31,0,14.2,0,0,0,0,0,0,0,0,0,0,0,0,70.48,0,0,0,0
Xibo_North-China,0,0,0,1.1,0,1.45,0,36.42,0,21.61,0,2.02,4.93,2.64,0.98,2.51,0,0,0,0,0,0,1.59,2.41,0,0.22,0,0,10.86,0.87,0,8.07,2.2,0,0.08,0
Hezhen_NE-china,0,0,0,0,0,0,0,22.93,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.07,0,0,0,0,0,0,0
Oroqen_NE-China,0,0,0,0,0,0,0,0,0,75.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4,0,0,0,0,0,0,0
Mongola_North-China,0,0.26,0,0.22,0,0,0,2.25,0,92.22,0,0,0,0,0,0,2.14,0,0,0,0.12,0.06,0,0,0,0,0,0,0,0,0,2.67,0,0,0,0
Miaozu_SE-China,0,0,0,0,0,0,0,25.7,0,6.79,0,0,0,0,0,0,25.96,0,6.86,0,0,0,0,0,0,0,0,0,0,0,0,34.7,0,0,0,0
Lahu_South-China,0,0,0,0,0,0,0,17.2,0,4.9,0,0,0,0,0,0,31.45,0,17.74,0,0,0,0,0,0,0,0,0,1.82,0,0,26.89,0,0,0,0
Yizu_SW_China,0,0,0,0,0,0,0,28.79,0,21.34,0,0,0,0,0,0,9.51,0,7.11,0,0,0,0,0,0,0.41,0,0,2.12,0.18,0,30.14,0,0.39,0,0
TU_North-china,0,0,0.07,0,0,0,0,2.5,0,79.85,0.57,0,0,0,0,0,3.65,0,0,0,0,0,0,0,0,0.38,0,0.27,0,2.2,0,10.5,0,0,0,0
Tujia_South-china,0,0,0,0,0,0,0,33.75,0,4.99,0,0,0,0,0,0,23.56,0,3.61,0,0,0,0,0,0,0,0,0,0,0,0,34.09,0,0,0,0
Daur_NE-China,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naxi-SW-China,0,0,0,0,0,0,0,36.11,0,19.1,0,0,0,0,0,0,8.67,0,5.16,0,0,0,0,0,0,0.4,0,0,4.46,1.92,0,24.18,0,0,0,0
Japan,0.047,0,0,0,0,0,0,91.358,0,2.808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388,0,0.023,5.182,0.135,0,0,0,0,0.057,0
Cambodia,0.134,0.013,0,0,0.207,0,0.071,1.424,0.052,0.073,0.089,0.005,0.092,0.052,0.054,0,30.822,0,54.621,0.072,0.054,0.047,0,0.127,0.044,0.454,0.093,0.048,0.118,6.507,0.416,4.083,0.056,0.073,0.011,0.062
Vietnam,0.051,0,0,0,0.016,0,0,8.096,0,0.072,0,0,0,0,0,0.01,44.955,0,20.34,0,0,0,0,0,0,0.053,0,0.024,0.009,0,0,26.377,0,0,0,0
Phillipines,0.122,0,0.062,0.281,0.037,0.182,0.011,8.67,0.084,0.027,0.078,0.041,0.199,0.029,0.165,0.865,15.241,0.173,49.498,0.156,0.07,0.386,0.04,0.065,0.085,1.326,0.03,0.081,0.018,0,0,21.543,0.036,0.053,0.016,0.335
Indonesian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8,0,82.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bashkir,1.685833333,0,0.024166667,0.54,0.040833333,2.565,0.0225,2.503333333,1.263333333,8.7325,4.323333333,0,10.14083333,9.606666667,1.541666667,0.6525,0.328333333,0.203333333,0.4325,0,0,3.02,8.4775,2.5925,0.0075,0.125833333,0.073333333,0.106666667,23.70833333,0.490833333,7.415833333,0.135833333,8.1725,0.049166667,0.925833333,0.075
Chuvash,0.64,0,0.31,0,0,5.54,0,0.03,3.51,1.51,8.7,0,12.38,14.3,1.56,0,0.16,0.16,0,0,0,1.19,4.75,1.55,0,0,0,0,13.36,0.09,3.5,0.73,26.02,0,0.01,0
Tatar_Crimea_Coast,0.21,0.67,8.33,1.1,0,1.75,0,0.32,3.81,0.72,5.19,11.52,1.74,1.73,3.28,4.06,0.06,13.03,0,9.92,0.02,1.96,12.64,2.71,0,0.05,0,0,0.75,0.89,2.79,0.2,0.36,0,7.67,2.52
Tatar_Crimea_Steppe,0.41,0.28,2.48,0.23,0,2.45,0,6.16,2.56,11.37,9.65,1.27,6.47,4.72,0.25,0.87,0.1,5.25,0.37,2.26,0.02,3.02,11.13,3.75,0.33,0.01,0.09,0.11,13.34,0.99,4.08,1.59,1.75,0.01,2.2,0.43
Tatar_Volga,0.595,0.174,0.383,0.737,0.073,4.302,0.04,1.195,3.378,3.52,12.758,0.401,14.082,12.922,1.889,1.756,0.058,1.988,0.062,0.135,0.02,5.018,6.67,4.141,0,0.273,0.085,0.035,7.888,0.1,4.406,0.398,9.458,0.014,0.738,0.31
Tatar_Kryashen,0.39,0.06,1.16,1.06,0,4.91,0,0.81,1.76,2.68,14.9,0.83,16.88,14.41,0.75,2.16,0.28,1.84,0.47,0.04,0.02,4.07,6.41,5.68,0,0.03,0.18,0,7.55,0.17,2.67,0.4,6.44,0.12,0.61,0.26
Tatar_Lithuanian,0.67,0,1.99,0,0.18,6.86,0,4.01,4.03,6.89,14.23,1.54,9.08,8.57,1.12,1.35,0.82,5.29,0.17,0,0.02,1.42,5.81,4.48,0,0.04,0.08,0.04,8.53,0.51,6.19,2.54,2.9,0,0.63,0.01
Tatar_Siberia,1.49,0,0.2,0,0,0.12,0.01,7.67,2.58,11.17,1.47,0,11.27,4.13,0,0,0,0,0,0,0,3.39,13.39,3.45,0,0.15,0,0,25.04,0,6.7,0.01,6.58,0.22,0.96,0
Tatar_Ural,0.57,0,0.11,0.27,0,2.9,0,0.46,3.22,4.58,9.25,0.01,13.87,13.95,0.64,0.44,0.04,0.01,0.19,0.08,0.02,4.54,6.35,6.71,0,0.24,0,0.08,14.05,0.81,5.32,0.92,9.73,0.09,0.55,0
Tatar_Yunusbayev,0.79,0.12,0.35,0.78,0.04,4.38,0,1.11,3.56,3.05,10.6,0.18,13.25,12.55,1.68,1.91,0.14,0.92,0.13,0.16,0.03,4.64,7.37,5.35,0.01,0.21,0.12,0.01,11.22,0.14,4.7,0.35,9.27,0.03,0.7,0.15
Kazakh,0.85,0.01,1.25,0.37,0,1.6,0,15.39,0.27,17.19,3.95,0.25,2.96,3.01,1.48,0.78,0.02,0.03,0.04,1.16,0.06,0.95,9.01,1.58,0,0.35,0,0.38,25.54,0.52,5.91,0.92,2.09,0,2.08,0
Karakalpak,0.409,0.344,1.943,0.007,0.024,1.729,0,11.753,1.792,15.669,2.547,1.187,3.528,4.241,0.323,0.586,0.044,1.647,0.105,0.442,0,2.173,9.017,1.663,0,0.481,0.005,0.17,22.272,1.783,7.894,1.643,2.86,0.016,1.625,0.048
Uyghur,1.193636364,0.263636364,2.17,0.117272727,0.006363636,1.317272727,0.01,16.09454545,1.003636364,12.38909091,2.244545455,0.757272727,1.793636364,2.366363636,0.613636364,0.272727273,0.527272727,0.036363636,0.021818182,1.157272727,0.05,0.925454546,10.03545455,2.431818182,0.069090909,0.144545455,0.06,0.04,13.53,4.124545455,14.77909091,5.758181818,2.133636364,0,1.537272727,0
Uzbek,0.626,0.534,2.717,0.235,0.045,1.099,0,9.491,1.275,10.011,2.992,3.208,3.985,1.896,0.976,0.205,0.323,1.211,0.034,2.01,0.086,1.731,11.922,1.641,0.125,0.096,0.071,0.059,15.131,4.045,15.59,1.422,2.586,0.071,2.439,0.095
Turkmen,0.300833333,1.4575,4.789166667,0.2875,0.081666667,1.689166667,0.024166667,2.798333333,0.619166667,6.375,1.275833333,8.54,2.72,1.624166667,1.216666667,0.38,0.258333333,2.2825,0.134166667,6.216666667,0.009166667,1.008333333,15.5,0.8375,0,0.204166667,0,0.121666667,9.410833333,4.193333333,18.7775,0.775833333,1.800833333,0.014166667,4.198333333,0.064166667
Turkmen_Uzbekistan,0.2225,2.0225,4.2425,0.155,0,1.1425,0.03875,5.66125,1.07875,6.75125,1.5625,7.03625,1.74375,2.02375,0.56,0.09875,0.1425,2.97625,0.11875,4.6475,0,3.19625,12.6075,1.43625,0,0.12875,0,0.0675,13.395,2.67375,18.60125,1.1475,1.92125,0,2.46875,0.105
Kalmyk,0.65,0.32,0.66,0.45,0.04,0.74,0.01,17.86,0.89,26.89,0.99,0.04,1.55,1.79,0.45,0.01,0.02,0.16,0.02,0.05,0.02,1.07,3.73,0.29,0,0.25,0.05,0.05,34.19,0.23,2.07,1.71,1.99,0.04,0.54,0.18
Tajik_AFG,0.75,0,2.65,0,0,0,0,5.49,0,5.04,1.73,3.55,2.25,2.94,0,0,3.78,3.05,0,6.82,0,0.66,12.45,0,0,0,0,0,11.01,9.76,24.37,0,1.88,0,1.82,0
Iran,0.05,3.5325,8.7325,0.0725,0,1.4175,0,0.0475,1.1125,0.22,0.71,15.6575,0,0,0.2675,0.4275,0,2.3425,0,15.34,0,0,16.895,0.5025,0,0,0,0.05,0.3225,1.0075,24.1075,0.1775,0.2225,0.145,6.755,0
Pushtun_AFG,0.53,0,4.75,0,0,0,0,0,0,0,0.37,2.51,2.16,3.8,0,0,0,0,0,3.135,0,0.445,17.63,1.585,0,0,0,0,0.225,12.705,42.475,0,1.27,0,3.06,0
Pushtun_PAK,1.34,0,4.09,0,0.11,0.55,0.47,0.46,0.03,0.06,1.81,3.17,2.71,1.26,0,0.16,0.15,0,0,0.31,0,2.02,13.47,0.86,0,0.49,0.17,0.11,1.41,19.32,42.46,0.13,0.33,0.44,2.14,0
Kalash_PAK,0.283333333,0,1.023333333,0,0.07,0.843333333,0,0,0.046666667,0,0.803333333,0,4.35,1.39,0,0,0,0,0,0,0,2.003333333,19.1,1.02,0,0,0,0,0,18.48666667,46.59666667,0,1.226666667,0,2.746666667,0
Baloch_IR,0,3.41,5.14,0,0,0,0.39,0,0,0,0.32,8.16,0,0.25,0,0,0,0,0,12.43,0,0,13.18,0,0,0,0.31,0.08,0,5.9,43.63,0,0.37,2.15,4.31,0
Brahui_PAK,0,2.093333333,1.196666667,0,0,0,0,0,0,0,0,0.283333333,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0,95.04666667,0,0,0,0.496666667,0
Chitrali_PAK,1.63,0,1.35,0,0,1.4,0,0,0,0,3.41,1.49,4.19,1.23,0.58,0,0,0,0,0,0,1.02,15.96,2.17,0,0,0,0,3.22,18.23,41.85,0,0.51,0,1.79,0
Makrani_PAK,0,2.54,6.94,0,0.203333333,0,0.353333333,0,0,0,0,4.35,0,0,0,0,0,0,0,9.113333333,0,0,8.383333333,0,0,0,0,0.886666667,0,3.313333333,58.26333333,0,0,1.17,4.48,0
Sindhi_PAK,0,0,4.48,0,0.31,0,1.41,0,0,0,0,0.41,0.045,0,0.135,0,0,0,0,2.99,0,0.04,8.04,0,0,0.185,0.125,0.4,0,30.595,47.645,0,0.265,2.12,0.785,0
Burusho_PAK,0.67,0,0,0,0,0,0,3.463333333,0,1.63,0,0,0,0,0,0,0.186666667,0,0,0,0,0,0,0,0,0.35,0,0,2.956666667,1.683333333,88.7,0.356666667,0,0,0,0
Hazara_PAK,0.99,1.216666667,1.36,0.296666667,0,0.426666667,0,14.00333333,0.54,14.97333333,1.34,2.26,1.953333333,0.393333333,0.83,0,0.723333333,1.176666667,0.24,0.503333333,0,3.126666667,8.97,0.17,0,0.19,0.076666667,0,16.39666667,5.983333333,16.17,3.583333333,1.006666667,0,0.996666667,0.056666667
Telugu_IND,0,0,0,2.57,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07,0,0,0,0,0,0,1.77,0,0,0,60.69,32.76,0,0,0,0,0
Bengali_BNG,0,0,1,1.72,0,0,0,6.58,0,2.07,0,0,0.5,0,0,0,5.04,0,0,0,0,0,0,0,0,0.63,0,0,0,57.38,24.31,0,0,0,0.79,0
Malayali_IND,0.3,0,0.12,0,0,0.36,0,0,0,0,0.93,0,0,0,0.26,0,0,0,2.93,0,0.06,0,2.7,0,0,1.03,0.16,0,0,59.9,30.57,0,0.25,0.41,0,0
Brahmin_South-India,0.28,0.08,0.91,0,0.14,0.1,0.07,0.09,0,0,0.22,0.28,0.35,0.24,0.31,0.08,0.03,0,1.04,0.16,0.01,0.78,4.39,0.59,0.01,0.53,0,0.18,0,55.01,32.5,0,0.75,0.33,0.52,0
Jatt_Sikh,0.35,0.07,1.37,0.01,0.1,1.06,0.06,0,0.3,0,2.06,0.11,1.46,1.05,0.55,0.08,0,0,0,0,0,2.45,11.6,2.22,0.02,0.2,0,0.02,0,30.22,41.07,0,1.63,0.06,1.94,0
Jatt_Muslim,0.51,0,0.72,0.04,0.05,0.41,0,0,0.62,0,2.45,0.11,0.89,1.16,0.17,0,0,0,0.06,0.11,0,1.23,8.08,2.8,0,0.24,0.1,0.06,0.34,37.88,39.14,0,0.31,0.21,2.23,0
Jatt_Haryana,1.26,0,0.79,0.7,0,0,0,0,0,0,3.27,0,2.58,3.73,0,0,0,0,0,0,0,1.52,12.5,4.05,0,0,0,0.04,0,31.85,34.22,0,2.5,0,0.99,0
Punjabi_Khatri,0.84,0,0.53,0.69,0,0,0,0,0,0,0.31,0.89,2.04,2.14,0.11,0,0,0,0,0.44,0.2,0.41,11.62,1.71,0,0.28,0,0,0,32.43,40.64,0,1.72,0,3.01,0
Khoja_Memoni,0.52,0,2.34,0,0,0,0,0,0.61,0.08,1.54,0.23,1.25,0.11,0.99,0,0,0,0,0.22,0,0.52,14.2,1.04,0,0.05,0,0.04,0.06,29.05,44.83,0,0.7,0.11,1.52,0
Brahmin_Himachal_Pradesh,0.09,0,0,0,0,0,0,0,0,0,1.97,0,0.06,1.44,0,0,0,0,0.46,1.23,0,0,8.07,1.44,0,0.91,0,0,3.35,42.12,34.52,0,1.1,0,3.16,0
Jatt_Pahari,0.38,0,2.85,0,0,0.28,0,0,0.02,0,1,1.01,2.08,0.34,0,0,0.28,0,0,0.12,0,0.2,7.79,0.7,0,0.48,0.03,0.1,0,33.78,45.68,0,0,0.04,2.81,0
Brahmin_Bihari,1.27,0,0.11,0,0,0,0,0,0,0,1.06,0,5.38,0,0,0,0.13,0,0,0,0,0,3.25,5.83,0,1.33,0,0,0,45.65,33.69,0,0,0,2.3,0
Brahmin_Nepali,1.077,0,0.817,0,0.07,2.79,0,1.01,0,0,0.987,0,1.137,3.003,1.25,0,0.123,0,0.81,0,0,2.237,5.707,1.77,0,0.643,0,0,15.02,35.31,23.543,1.447,0.303,0.16,0.33,0
Sidhu_IND,0.555,0,3.16,0,0,0,0,0,0,0,1.58,0,2.865,3.83,0,0,0,0,0.095,0,0,2.795,11,4.13,0,0.12,0,0.085,0,29.17,38.53,0,0.955,0.08,1.06,0
Kashmiri-Pandhit_IND,0.36,0,0.47,0.54,0,1.22,0,0,0.95,0,0.36,0,0,3.79,2.61,0,0.3,0,0.28,0,0,0,9.91,0,0,0.22,0,0.32,0.38,35.36,38.61,1.54,0,0,2.77,0
Jammu_Brahmin,1.52,0,0,0,0,0,0,0,0,0,0,0.47,0.29,3.37,0,0,0,0,1.92,0,0,0,9.52,3.99,0,0,0,0,0.06,38.38,36.91,0,0.7,0,2.81,0
Punjabi_IND,0.28,0,0.64,1.087,0.087,0.3,0,0,0,0,1.407,0,3.033,0.18,0.257,0.67,0,0.073,0,0.473,0,1.63,7.473,3.23,0,0.16,0,0.383,0,39.747,34.497,0.18,1.307,0.043,1.95,0.897
Punjabi_PAK,0.527,0.223,0.6,0,0,0.297,0.15,0,0,0,1.23,0,1.933,1.297,0.53,0,0.097,0,0.657,0,0,1.66,8.12,0.397,0,0.213,0.41,0.027,0.423,40.137,36.787,0,1.733,0.173,2.357,0
Tamil_Ceylon,2.99,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.84,18.67,0.21,0,4.03,0,0
Morocco,0.006875,7.9740625,0.1075,0.6775,0,0,1.06625,0.0271875,0.3709375,0,0.02625,5.2209375,0,0,0.219375,13.975,0.294516129,4.2125,0,10.1084375,30.12625,0.0909375,0,0.064516129,13.60375,0.08625,0.0175,0.0025,0.006875,0,0,0.0284375,0,5.779375,0,5.908125
Algeria,0.061333333,9.093870968,0.306451613,0.661935484,0.038064516,0.094193548,1.340967742,0,0.227741936,0.056774194,0.053333333,7.12516129,0.044516129,0,0.221290323,14.60516129,0,4.363870968,0.056666667,12.2283871,26.04419355,0.121666667,0,0,11.2883871,0.018666667,0.099354839,0,0.019333333,0.006333333,0,0,0.025,6.353548387,0.056774194,5.290322581
Tunisia,0.018888889,7.088888889,1.97875,0.504444444,0.051111111,0.33875,0.981111111,0.26875,0.89625,0,0.0625,8.977777778,0,0,0.694444444,14.63555556,0.14375,9.705555556,0,11.04888889,21.48888889,0,0.3275,0.1575,10.43555556,0,0.022222222,0,0,0,0,0.042222222,0.013333333,4.797777778,0.62875,5.105555556
Egypt,0.043,17.42,2.723,0.101,0.094,0,0.126,0,0.575,0.006,0,22.27,0,0,0,0.15,0,2.534,0,27.188,6.625,0,0,0,14.672,0,0.014,0.235,0.017,0.283,0.374,0,0,1.059,0.535,2.954
Bedouin_ISR,0.064,31.402,2.864,0.122,0,0.022,0.244,0,0.175,0.049,0.096,16.406,0,0,0.13,1.255,0,3.388,0,25.048,4.43,0,1.085,0,8.451,0.021,0,0.009,0,0.162,0.867,0,0.05,0.803,1.526,1.33
Druze,0,4.982,4.975,0,0.302,0.597,0,0,1.538,0,0,61.43,0,0,0.177,0.877,0.032,4.158,0,11.422,0.385,0.02,3.71,0,0.782,0.053,0.065,0,0,0.132,1.452,0,0,0.1,2.015,0.787
Levant,0,12.722,7.715,0.361,0,0.334,0.061,0.022,1.238,0.006,0.006,24.172,0,0.014,0.172,0.516,0,8.988,0,26.114,1.827,0.026,4.451,0.041,2.828,0.154,0,0.005,0,0.079,1.819,0,0.028,0.066,4.123,1.857
Palestina,0.063,12.773,6.836,0.188,0.094,0.006,0.078,0.051,1.297,0.06,0.01,20.462,0,0,0.2,0.582,0,8.184,0,26.877,3.267,0.227,4.886,0.207,5.478,0.037,0,0.073,0,0.149,2.125,0,0.051,0.259,3.404,2.066
Saudi,0.044705882,49.53294118,1.096470588,0.12,0,0.078823529,0,0,0,0,0.037647059,15.26941176,0.004705882,0,0.285294118,0,0,0.357647059,0.063529412,25.72764706,1.505882353,0.088235294,0.774117647,0,2.332352941,0.006470588,0,0,0.015882353,0.552941177,1.275294118,0,0.067647059,0,0.415882353,0.338823529
Yemen_North,0.048571429,41.86142857,0.018571429,0,0,0,0.335714286,0,0.508571429,0,0,16.63142857,0,0,0,0.362857143,0.04,0.351428571,0.214285714,23.04571429,2.758571429,0,0,0,11.02285714,0.142857143,0.312857143,0,0.035714286,0.52,1.29,0,0,0.195714286,0,0.291428571
Hadramut_Yemen,0,21.14,2.805,0.19,0,0,3.495,0,0,0,0,5.53,0,0,0,0,0,0,0,21.855,0.51,0,0.715,0,21.645,0.12,0,0.435,0.885,1.85,1.675,0,0,9.305,0,0
